City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,whitehorse,60.7161,-135.0538,4.43,58,75,5.14,CA,1715247738
150,ballina,-28.8667,153.5667,17.66,58,100,5.68,AU,1715247836
151,puerto el triunfo,13.2833,-88.55,26.95,84,96,1.01,SV,1715247836
152,port elizabeth,-33.918,25.5701,25.61,68,0,2.57,ZA,1715247725
153,udachny,66.4167,112.4,-4.2,68,100,6.17,RU,1715247711
154,ancud,-41.8697,-73.8203,9.15,81,100,6.98,CL,1715247705
155,lompoc,34.6391,-120.4579,11.99,95,0,1.54,US,1715247712
156,cuenca,-2.8833,-78.9833,11.33,96,83,0.17,EC,1715247776
157,palikir - national government center,6.9248,158.1611,28.41,84,100,4.63,FM,1715247836
158,touros,-5.1989,-35.4608,26.39,88,69,3.49,BR,1715247707
159,jirja,26.3383,31.8916,32.12,12,0,2.06,EG,1715247837
160,mirny,62.5353,113.9611,1.8,59,100,4.47,RU,1715247837
161,puerto san jose,13.9256,-90.8244,28.68,74,100,3.29,GT,1715247837
162,chernyshevskiy,63.0128,112.4714,-0.45,73,100,3.52,RU,1715247837
163,ha'il,27.5219,41.6907,29.01,23,0,3.09,SA,1715247837
164,presidencia roque saenz pena,-26.7852,-60.4388,12.18,53,92,2.97,AR,1715247838
165,irymple,-34.25,142.1667,17.27,64,92,2.61,AU,1715247838
166,columbia,34.0007,-81.0348,20.0,93,75,2.57,US,1715247582
167,awantipur,33.9167,75.0167,26.07,32,3,0.9,IN,1715247838
168,miracema do tocantins,-9.5618,-48.3967,22.65,81,2,1.03,BR,1715247838
169,donskoy,53.9711,38.3363,4.19,39,100,7.76,RU,1715247838
170,shakiso,5.75,38.9167,20.0,86,95,1.75,ET,1715247839
171,flying fish cove,-10.4217,105.6791,27.82,83,75,5.66,CX,1715247839
172,yei,4.095,30.6779,34.59,35,89,2.85,SS,1715247839
173,ilulissat,69.2167,-51.1,-4.99,80,75,3.09,GL,1715247716
174,visnagar,23.7,72.55,40.94,19,38,8.47,IN,1715247839
175,dellys,36.9172,3.9131,17.11,66,58,1.4,DZ,1715247839
176,leninsk,48.7119,45.1994,12.91,41,63,10.17,RU,1715247840
177,pomorie,42.5588,27.6439,18.24,63,75,4.63,BG,1715247840
178,altamont,42.2068,-121.7372,6.91,49,0,0.0,US,1715247840
179,bayganin,48.6947,55.8742,13.75,34,1,7.77,KZ,1715247840
180,revda,56.801,59.9303,6.54,42,80,6.36,RU,1715247840
181,mallow,52.1333,-8.6333,15.28,73,100,4.13,IE,1715247841
182,chonchi,-42.6128,-73.8092,6.56,92,87,2.17,CL,1715247731
183,alamosa,37.4695,-105.87,-2.01,43,0,4.12,US,1715247841
184,saurimo,-9.6608,20.3916,30.22,38,83,3.83,AO,1715247841
185,nuku'alofa,-21.1333,-175.2,24.19,69,20,4.12,TO,1715247841
186,georgetown,5.4112,100.3354,31.96,74,20,4.12,MY,1715247745
187,visavadar,21.3833,70.6833,38.98,22,0,6.88,IN,1715247842
188,vadso,70.0744,29.7487,1.49,60,75,4.12,NO,1715247842
189,hobyo,5.3505,48.5268,31.99,63,65,6.24,SO,1715247842
190,nadym,65.5333,72.5167,-1.69,91,100,11.49,RU,1715247734
191,menaka,15.9182,2.4022,40.79,9,4,2.22,ML,1715247842
192,tura,25.5198,90.2201,30.8,40,99,2.46,IN,1715247842
193,sao tome,0.3365,6.7273,30.02,79,75,7.2,ST,1715247842
194,terenos,-20.4422,-54.8603,22.84,83,0,3.09,BR,1715247843
195,caleta de carquin,-11.0925,-77.6267,18.8,92,89,2.89,PE,1715247843
196,homer,59.6425,-151.5483,3.94,68,100,2.06,US,1715247843
197,cannonvale,-20.2833,148.7,22.66,84,100,4.31,AU,1715247719
198,tralee,52.2704,-9.7026,15.14,72,20,4.63,IE,1715247709
199,usinsk,65.9939,57.5281,-0.52,89,100,2.68,RU,1715247843
200,portland,45.5234,-122.6762,10.96,78,0,1.54,US,1715247457
201,kishtwar,33.3167,75.7667,28.75,25,15,2.49,IN,1715247844
202,abepura,-2.6333,140.5833,25.45,100,20,1.03,ID,1715247844
203,jinghong,21.991,100.7341,26.52,59,75,1.59,CN,1715247844
204,tughyl,47.7252,84.2063,16.1,53,0,2.41,KZ,1715247844
205,howard springs,-12.497,131.047,28.95,83,50,2.27,AU,1715247844
206,flin flon,54.7682,-101.865,7.87,78,52,2.2,CA,1715247821
207,el soberbio,-27.2985,-54.1988,16.28,98,95,1.47,AR,1715247845
208,tostado,-29.232,-61.7692,6.66,75,75,2.6,AR,1715247845
209,merizo village,13.2658,144.6691,28.88,91,52,5.57,GU,1715247845
210,aasiaat,68.7098,-52.8699,-10.27,94,28,2.18,GL,1715247731
211,papao,-17.75,-149.55,24.82,76,82,8.17,PF,1715247845
212,brindisi,40.5833,17.6667,22.47,63,100,5.86,IT,1715247845
213,zemio,5.0314,25.1361,36.48,30,70,1.58,CF,1715247846
214,san antonio de pale,-1.4014,5.6325,27.55,83,98,5.0,GQ,1715247732
215,brockport,43.2137,-77.9392,9.42,96,31,0.49,US,1715247846
216,hamilton,39.1834,-84.5333,19.48,92,20,4.12,US,1715247595
217,norresundby,57.0483,9.9352,14.47,77,75,8.23,DK,1715247846
218,novaya igirma,57.1334,103.9112,3.16,97,100,2.72,RU,1715247846
219,arauquita,7.0292,-71.4281,22.79,99,99,0.46,CO,1715247847
220,rumbek,6.802,29.6912,40.6,21,16,2.62,SS,1715247847
221,uturoa,-16.7333,-151.4333,27.77,72,88,6.15,PF,1715247847
222,santa cruz del sur,20.7147,-77.9956,23.8,90,36,4.59,CU,1715247847
223,berezovo,63.9381,65.0419,3.21,100,100,7.59,RU,1715247848
224,kidal,18.4411,1.4078,41.07,5,0,6.26,ML,1715247713
225,konarka,19.9,86.1167,32.22,73,7,7.58,IN,1715247848
226,lucea,18.451,-78.1736,25.92,83,39,3.27,JM,1715247848
227,abra pampa,-22.7205,-65.697,5.68,97,1,5.46,AR,1715247848
